key,scientific_name,species,family,country,year,month,basis_of_record
3886891653,"Gymnomystax Reichenbach, 1850",,Icteridae,Colombia,2022,12,HUMAN_OBSERVATION
3886891657,"Jabiru mycteria (Lichtenstein, 1819)",Jabiru mycteria,Ciconiidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891660,"Forpus conspicillatus (Lafresnaye, 1848)",Forpus conspicillatus,Psittacidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891665,"Phimosus infuscatus (Lichtenstein, 1823)",Phimosus infuscatus,Threskiornithidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891666,"Rupornis magnirostris (Gmelin, 1788)",Rupornis magnirostris,Accipitridae,Colombia,2022,12,HUMAN_OBSERVATION
3886891668,"Bubulcus ibis (Linnaeus, 1758)",Bubulcus ibis,Ardeidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891669,"Cathartes aura (Linnaeus, 1758)",Cathartes aura,Cathartidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891670,"Eudocimus ruber (Linnaeus, 1758)",Eudocimus ruber,Threskiornithidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891673,"Amazona ochrocephala (Gmelin, 1788)",Amazona ochrocephala,Psittacidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891676,"Cathartes aura (Linnaeus, 1758)",Cathartes aura,Cathartidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891678,"Mimus gilvus (Vieillot, 1808)",Mimus gilvus,Mimidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891683,"Dendrocygna autumnalis (Linnaeus, 1758)",Dendrocygna autumnalis,Anatidae,Colombia,2022,12,HUMAN_OBSERVATION
3946207260,"Actitis hypoleucos (Linnaeus, 1758)",Actitis hypoleucos,Scolopacidae,Chinese Taipei,2022,12,HUMAN_OBSERVATION
3946207261,"Cyanoderma ruficeps (Blyth, 1847)",Stachyridopsis ruficeps,Timaliidae,Chinese Taipei,2022,12,HUMAN_OBSERVATION
3946207262,"Hypsipetes leucocephalus (Gmelin, 1789)",Hypsipetes leucocephalus,Pycnonotidae,Chinese Taipei,2022,12,HUMAN_OBSERVATION
2650162147,"Chiroxiphia pareola (Linnaeus, 1766)",Chiroxiphia pareola,Pipridae,Brazil,2023,12,PRESERVED_SPECIMEN
2709195579,"Gallinula galeata (Lichtenstein & Mhc, 1818)",Gallinula chloropus,Rallidae,United States of America,2023,12,HUMAN_OBSERVATION
